ID,Questionnaire préalable,Questionnaire préalable - Date d'achèvement,Les aires fonctionnelles du cerveau,Les aires fonctionnelles du cerveau - Date d'achèvement,Auto-évaluation 1,Auto-évaluation 1 - Date d'achèvement,A l'extérieur et à l'intérieur du cerveau,A l'extérieur et à l'intérieur du cerveau - Date d'achèvement,Auto-évaluation 2,Auto-évaluation 2 - Date d'achèvement,Caractéristiques,Caractéristiques - Date d'achèvement,Informations pratiques,Informations pratiques - Date d'achèvement,Auto-évaluation 3,Auto-évaluation 3 - Date d'achèvement,Quiz final,Quiz final - Date d'achèvement,Cours terminé
283468,Terminé,"14 juin 21, 14:25",Terminé,"14 juin 21, 14:27",Terminé,"14 juin 21, 14:37",Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,
283423,Terminé,"14 juin 21, 11:11",Terminé,"14 juin 21, 11:12",Terminé,"14 juin 21, 12:23",Terminé,"14 juin 21, 12:23",Terminé,"14 juin 21, 12:28",Terminé,"14 juin 21, 12:28",Terminé,"14 juin 21, 12:31",Terminé,"14 juin 21, 12:35",Terminé,"14 juin 21, 12:39","14 juin 21, 12:39"
271576,Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,
283946,Terminé,"16 juin 21, 17:54",Terminé,"16 juin 21, 17:54",Terminé,"16 juin 21, 18:04",Terminé,"16 juin 21, 18:07",Terminé,"16 juin 21, 18:10",Terminé,"16 juin 21, 18:12",Terminé,"16 juin 21, 18:13",Terminé,"16 juin 21, 18:16",Terminé,"16 juin 21, 18:22","16 juin 21, 18:22"
275359,Pas terminé,,Terminé,"16 avril 21, 20:57",Pas terminé,"16 avril 21, 21:10",Terminé,"16 avril 21, 21:22",Terminé,"16 avril 21, 21:27",Terminé,"16 avril 21, 21:29",Terminé,"16 avril 21, 21:31",Terminé,"16 avril 21, 21:38",Pas terminé,"16 avril 21, 21:50",
275757,Pas terminé,,Terminé,"18 avril 21, 18:52",Terminé,"18 avril 21, 18:57",Terminé,"18 avril 21, 19:01",Terminé,"18 avril 21, 19:04",Terminé,"18 avril 21, 19:09",Terminé,"18 avril 21, 19:10",Terminé,"18 avril 21, 19:14",Terminé,"18 avril 21, 19:26",
281358,Terminé,"26 mai 21, 15:34",Terminé,"26 mai 21, 15:37",Terminé,"26 mai 21, 15:44",Terminé,"26 mai 21, 15:47",Terminé,"26 mai 21, 15:54",Terminé,"26 mai 21, 15:56",Terminé,"26 mai 21, 16:00",Terminé,"26 mai 21, 16:07",Terminé,"26 mai 21, 16:12","26 mai 21, 16:12"
282425,Terminé,"5 juin 21, 19:38",Terminé,"5 juin 21, 19:41",Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,
281821,Terminé,"31 mai 21, 13:49",Terminé,"31 mai 21, 13:50",Terminé,"31 mai 21, 13:54",Terminé,"31 mai 21, 13:55",Terminé,"31 mai 21, 13:59",Terminé,"31 mai 21, 14:00",Terminé,"31 mai 21, 14:02",Terminé,"31 mai 21, 14:06",Terminé,"31 mai 21, 14:10","31 mai 21, 14:10"
280431,Terminé,"16 juin 21, 19:09",Terminé,"20 mai 21, 17:11",Terminé,"16 juin 21, 19:21",Terminé,"16 juin 21, 19:22",Terminé,"16 juin 21, 19:25",Terminé,"16 juin 21, 19:30",Terminé,"16 juin 21, 19:31",Terminé,"16 juin 21, 19:35",Terminé,"16 juin 21, 19:45","16 juin 21, 19:45"
277831,Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,
283869,Terminé,"16 juin 21, 11:10",Terminé,"16 juin 21, 11:11",Terminé,"16 juin 21, 11:15",Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,Pas terminé,,
