ID,État,Commencé le,Terminé,Temps utilisé,"Note/10,00","Q. 1 /1,43","Q. 2 /1,43","Q. 3 /1,43","Q. 4 /1,43","Q. 5 /1,43","Q. 6 /1,43","Q. 7 /1,43"
283468,Terminé,14 juin 2021  14:30,14 juin 2021  14:36,6 min 6 s,"5,36","1,43","1,43","0,00","1,07","0,00","0,00","1,43"
283423,Terminé,14 juin 2021  12:19,14 juin 2021  12:22,3 min 11 s,"6,29","1,43","0,00","0,71","0,71","1,43","0,57","1,43"
283946,Terminé,16 juin 2021  17:55,16 juin 2021  18:03,7 min 35 s,"7,14","1,43","1,43","0,71","0,71","1,43","0,00","1,43"
283946,Terminé,16 juin 2021  18:04,16 juin 2021  18:06,1 min 37 s,"10,00","1,43","1,43","1,43","1,43","1,43","1,43","1,43"
275359,,,,,,,,,,,,
275757,Terminé,18 avril 2021  18:53,18 avril 2021  18:56,3 min 9 s,"7,15","1,43","0,00","1,43","1,43",-,"1,43","1,43"
275757,Terminé,18 avril 2021  18:57,18 avril 2021  18:58,1 min 9 s,"10,00","1,43","1,43","1,43","1,43","1,43","1,43","1,43"
281358,Terminé,26 mai 2021  15:39,26 mai 2021  15:43,3 min 45 s,"8,57","1,43","1,43","1,43","1,43","0,00","1,43","1,43"
282425,,,,,,,,,,,,
281821,Terminé,31 mai 2021  13:50,31 mai 2021  13:53,2 min 55 s,"7,38","1,43","0,00","1,43","1,43","0,95","0,71","1,43"
280431,Terminé,16 juin 2021  19:11,16 juin 2021  19:20,9 min 8 s,"7,29","1,43","1,43","0,71","1,43","0,00","0,86","1,43"
277831,,,,,,,,,,,,
283869,Terminé,16 juin 2021  11:12,16 juin 2021  11:15,2 min 42 s,"5,24","0,00","1,43","0,71","0,71","0,95","0,00","1,43"
281288,Terminé,25 mai 2021  20:31,25 mai 2021  20:35,4 min 25 s,"7,67","1,43","1,43","1,43","0,71","0,95","0,29","1,43"
281288,Terminé,25 mai 2021  20:36,25 mai 2021  20:38,2 min,"9,24","1,43","1,43","1,43","1,43","0,95","1,14","1,43"
282587,,,,,,,,,,,,
284366,Terminé,20 juin 2021  14:46,20 juin 2021  14:51,4 min 54 s,"7,62","1,43","1,43","1,43","0,71","0,48","0,71","1,43"
284366,Terminé,20 juin 2021  14:51,20 juin 2021  14:53,1 min 51 s,"10,00","1,43","1,43","1,43","1,43","1,43","1,43","1,43"
285358,Terminé,28 juin 2021  14:38,28 juin 2021  14:42,3 min 26 s,"6,19","1,43","1,43","1,43","1,43","0,48","0,00","0,00"
283583,Terminé,14 juin 2021  23:48,14 juin 2021  23:54,5 min 34 s,"4,74","1,43","0,00","0,00","0,36","0,95","0,57","1,43"
283583,Terminé,14 juin 2021  23:56,15 juin 2021  00:00,4 min 28 s,"10,00","1,43","1,43","1,43","1,43","1,43","1,43","1,43"
275415,Terminé,15 mai 2021  21:00,15 mai 2021  21:03,2 min 32 s,"9,44","1,43","1,43","1,43","1,43","1,43","0,86","1,43"
283461,Terminé,14 juin 2021  12:56,14 juin 2021  12:59,2 min 38 s,"5,00","0,00","1,43","0,00","0,00","1,43","0,71","1,43"
283461,Terminé,14 juin 2021  13:00,14 juin 2021  13:02,1 min 25 s,"8,71","1,43","1,43","1,43","0,71","1,43","0,86","1,43"
282734,Terminé,8 juin 2021  12:53,8 juin 2021  12:56,2 min 46 s,"7,64","1,43","1,43","0,00","1,07","1,43","0,86","1,43"
281523,Terminé,27 mai 2021  20:08,27 mai 2021  20:10,2 min 12 s,"8,21","1,43","1,43","0,71","0,36","1,43","1,43","1,43"
282624,Terminé,7 juin 2021  18:21,7 juin 2021  18:49,27 min 47 s,"6,21","1,43","1,43","1,43","0,36","0,00","0,14","1,43"
282085,Terminé,2 juin 2021  16:27,2 juin 2021  16:31,4 min 1 s,"3,71","0,00","1,43","0,00","0,00","0,00","0,86","1,43"
281855,Terminé,31 mai 2021  20:57,31 mai 2021  20:59,2 min 16 s,"5,19","1,43","1,43","0,00","0,00","0,48","0,43","1,43"
281753,Terminé,31 mai 2021  21:16,31 mai 2021  21:19,2 min 53 s,"8,57","1,43","0,00","1,43","1,43","1,43","1,43","1,43"
281753,Terminé,31 mai 2021  21:20,31 mai 2021  21:21,1 min 29 s,"10,00","1,43","1,43","1,43","1,43","1,43","1,43","1,43"
283281,Terminé,16 juin 2021  00:39,16 juin 2021  00:44,4 min 27 s,"7,29","1,43","1,43","1,43","0,71","0,00","0,86","1,43"
283791,En cours,15 juin 2021  21:09,-,-,-,-,-,-,-,-,-,-
281370,Terminé,26 mai 2021  17:36,26 mai 2021  17:38,2 min 21 s,"5,95","1,43","0,00","1,43","0,71","0,95","0,00","1,43"
281370,Terminé,26 mai 2021  17:39,26 mai 2021  17:41,1 min 34 s,"5,48","0,00","1,43","1,43","0,71","0,48","0,00","1,43"
281785,Terminé,31 mai 2021  22:56,31 mai 2021  22:58,2 min 12 s,"3,00","1,43","0,00","0,00","0,00","0,00","0,14","1,43"
281751,Terminé,30 mai 2021  16:14,30 mai 2021  16:18,3 min 49 s,"7,14","1,43","1,43","1,43","1,43","0,00","0,00","1,43"
284023,Terminé,17 juin 2021  11:06,17 juin 2021  11:14,7 min 20 s,"6,19","1,43","0,00","1,43","1,43","0,48","0,00","1,43"
281752,Terminé,30 mai 2021  16:53,30 mai 2021  17:00,7 min 34 s,"8,43","1,43","1,43","0,71","1,43","1,43","0,57","1,43"
282630,Terminé,7 juin 2021  20:00,7 juin 2021  20:06,5 min 29 s,"8,43","1,43","1,43","1,43","0,71","1,43","0,57","1,43"
285541,,,,,,,,,,,,
284714,Terminé,26 juin 2021  19:13,26 juin 2021  19:16,2 min 31 s,"2,86","1,43","0,00","0,00","0,00","0,00","0,00","1,43"
284478,Terminé,21 juin 2021  13:10,21 juin 2021  13:12,2 min 20 s,"1,43","0,00","0,00","0,00","0,00","0,00","0,00","1,43"
284478,Terminé,21 juin 2021  13:13,21 juin 2021  13:16,3 min 22 s,"4,74","1,43","1,43","0,00","0,36","0,95","0,57","0,00"
281800,Terminé,31 mai 2021  10:39,31 mai 2021  10:42,3 min 47 s,"7,14","1,43","0,00","1,43","1,43","1,43","0,00","1,43"
275752,Terminé,18 avril 2021  18:26,18 avril 2021  18:29,3 min 4 s,"8,22","1,43","1,43","1,43","1,43",-,"1,07","1,43"
282955,Terminé,10 juin 2021  09:41,10 juin 2021  09:45,3 min 17 s,"7,62","1,43","1,43","1,43","1,43","0,48","0,00","1,43"
282955,Terminé,10 juin 2021  09:47,10 juin 2021  09:48,1 min 32 s,"8,10","1,43","1,43","1,43","1,43","0,95","0,00","1,43"
283225,Terminé,13 juin 2021  23:12,13 juin 2021  23:22,9 min 52 s,"6,07","1,43","0,00","1,43","0,36","0,00","1,43","1,43"
283225,Terminé,13 juin 2021  23:23,13 juin 2021  23:25,2 min 1 s,"10,00","1,43","1,43","1,43","1,43","1,43","1,43","1,43"
275517,,,,,,,,,,,,
281918,,,,,,,,,,,,
283324,,,,,,,,,,,,
280428,Terminé,19 mai 2021  15:50,19 mai 2021  15:54,3 min 17 s,"2,86","0,00","1,43","0,00","0,00","0,00","0,00","1,43"
280428,Terminé,19 mai 2021  15:57,19 mai 2021  15:59,2 min 14 s,"8,10","1,43","1,43","1,43","1,43","0,95","0,00","1,43"
282621,,,,,,,,,,,,
286593,Terminé,8 juillet 2021  19:26,8 juillet 2021  19:28,1 min 14 s,"4,64","1,43","1,43","0,00","0,36","0,00","0,00","1,43"
287559,Terminé,18 juillet 2021  20:58,18 juillet 2021  21:08,9 min 14 s,"10,00","1,43","1,43","1,43","1,43","1,43","1,43","1,43"
