st_id,act_questionnaire,act_questionnaire_end_date,res_image_analysis,res_image_analysis_end_date,act_quiz1,act_quiz1_end_date,res_text_explanations,res_text_explanations_end_date,act_quiz2,act_quiz2_end_date,res_factual,res_factual_end_date,res_practical,res_practical_end_date,act_quiz3,act_quiz3_end_date,act_quizf,act_quizf_end_date,course_end_date
283468,1,2021-06-14 14:25:00,1,2021-06-14 14:27:00,1,2021-06-14 14:37:00,0,,0,,0,,0,,0,,0,,
283423,1,2021-06-14 11:11:00,1,2021-06-14 11:12:00,1,2021-06-14 12:23:00,1,2021-06-14 12:23:00,1,2021-06-14 12:28:00,1,2021-06-14 12:28:00,1,2021-06-14 12:31:00,1,2021-06-14 12:35:00,1,2021-06-14 12:39:00,2021-06-14 12:39:00
271576,0,,0,,0,,0,,0,,0,,0,,0,,0,,
283946,1,2021-06-16 17:54:00,1,2021-06-16 17:54:00,1,2021-06-16 18:04:00,1,2021-06-16 18:07:00,1,2021-06-16 18:10:00,1,2021-06-16 18:12:00,1,2021-06-16 18:13:00,1,2021-06-16 18:16:00,1,2021-06-16 18:22:00,2021-06-16 18:22:00
275359,0,,1,2021-04-16 20:57:00,0,2021-04-16 21:10:00,1,2021-04-16 21:22:00,1,2021-04-16 21:27:00,1,2021-04-16 21:29:00,1,2021-04-16 21:31:00,1,2021-04-16 21:38:00,0,2021-04-16 21:50:00,
275757,0,,1,2021-04-18 18:52:00,1,2021-04-18 18:57:00,1,2021-04-18 19:01:00,1,2021-04-18 19:04:00,1,2021-04-18 19:09:00,1,2021-04-18 19:10:00,1,2021-04-18 19:14:00,1,2021-04-18 19:26:00,
281358,1,2021-05-26 15:34:00,1,2021-05-26 15:37:00,1,2021-05-26 15:44:00,1,2021-05-26 15:47:00,1,2021-05-26 15:54:00,1,2021-05-26 15:56:00,1,2021-05-26 16:00:00,1,2021-05-26 16:07:00,1,2021-05-26 16:12:00,2021-05-26 16:12:00
282425,1,2021-06-05 19:38:00,1,2021-06-05 19:41:00,0,,0,,0,,0,,0,,0,,0,,
281821,1,2021-05-31 13:49:00,1,2021-05-31 13:50:00,1,2021-05-31 13:54:00,1,2021-05-31 13:55:00,1,2021-05-31 13:59:00,1,2021-05-31 14:00:00,1,2021-05-31 14:02:00,1,2021-05-31 14:06:00,1,2021-05-31 14:10:00,2021-05-31 14:10:00
280431,1,2021-06-16 19:09:00,1,2021-05-20 17:11:00,1,2021-06-16 19:21:00,1,2021-06-16 19:22:00,1,2021-06-16 19:25:00,1,2021-06-16 19:30:00,1,2021-06-16 19:31:00,1,2021-06-16 19:35:00,1,2021-06-16 19:45:00,2021-06-16 19:45:00
277831,0,,0,,0,,0,,0,,0,,0,,0,,0,,
283869,1,2021-06-16 11:10:00,1,2021-06-16 11:11:00,1,2021-06-16 11:15:00,0,,0,,0,,0,,0,,0,,
281288,1,2021-05-25 20:31:00,1,2021-05-25 20:31:00,1,2021-05-25 20:36:00,1,2021-05-25 20:40:00,1,2021-05-25 20:46:00,1,2021-05-25 20:47:00,1,2021-05-25 20:48:00,1,2021-05-25 20:51:00,1,2021-05-25 20:58:00,2021-05-25 20:58:00
282587,0,,1,2021-06-07 13:51:00,0,,0,,0,,0,,0,,0,,0,,
284366,1,2021-06-20 14:44:00,1,2021-06-20 14:35:00,1,2021-06-20 14:51:00,1,2021-06-20 14:55:00,1,2021-06-20 15:00:00,1,2021-06-20 15:00:00,1,2021-06-20 15:02:00,1,2021-06-20 15:04:00,1,2021-06-20 15:09:00,2021-06-20 15:09:00
285358,1,2021-06-28 14:35:00,1,2021-06-28 14:37:00,1,2021-06-28 14:43:00,1,2021-06-28 14:44:00,1,2021-06-28 14:50:00,1,2021-06-28 14:50:00,1,2021-06-28 14:53:00,1,2021-06-28 14:59:00,1,2021-06-28 15:05:00,2021-06-28 15:05:00
283583,1,2021-06-14 23:03:00,1,2021-06-14 23:21:00,1,2021-06-14 23:55:00,1,2021-06-15 00:02:00,1,2021-06-15 00:06:00,1,2021-06-15 00:09:00,1,2021-06-15 00:10:00,1,2021-06-15 00:16:00,1,2021-06-15 00:23:00,2021-06-15 00:23:00
275415,1,2021-05-15 20:59:00,1,2021-05-15 21:00:00,1,2021-05-15 21:04:00,1,2021-05-15 21:04:00,1,2021-05-15 21:08:00,1,2021-05-15 21:09:00,1,2021-05-15 21:10:00,1,2021-05-15 21:14:00,1,2021-05-15 21:21:00,2021-05-15 21:21:00
283461,0,,1,2021-06-14 12:55:00,1,2021-06-14 13:00:00,1,2021-06-14 13:03:00,1,2021-06-14 13:06:00,1,2021-06-14 13:09:00,1,2021-06-14 13:10:00,1,2021-06-14 13:14:00,1,2021-06-14 13:17:00,
282734,1,2021-06-08 12:51:00,1,2021-06-08 12:52:00,1,2021-06-08 12:57:00,1,2021-06-08 12:58:00,1,2021-06-08 13:00:00,1,2021-06-08 13:01:00,1,2021-06-08 13:01:00,1,2021-06-08 13:08:00,1,2021-06-08 13:11:00,2021-06-08 13:11:00
281523,1,2021-05-27 20:06:00,1,2021-05-27 20:08:00,1,2021-05-27 20:11:00,1,2021-05-27 20:13:00,1,2021-05-27 20:15:00,1,2021-05-27 20:16:00,1,2021-05-27 20:17:00,1,2021-05-27 20:20:00,1,2021-05-27 20:25:00,2021-05-27 20:25:00
282624,0,,1,2021-06-07 18:21:00,1,2021-06-07 18:50:00,1,2021-06-07 18:27:00,1,2021-06-07 18:52:00,1,2021-06-07 18:33:00,1,2021-06-07 18:36:00,1,2021-06-07 18:53:00,1,2021-06-07 18:49:00,
282085,1,2021-06-02 16:56:00,1,2021-06-02 16:27:00,1,2021-06-02 16:32:00,1,2021-06-02 16:33:00,1,2021-06-02 16:37:00,1,2021-06-02 16:37:00,1,2021-06-02 16:39:00,1,2021-06-02 16:42:00,1,2021-06-02 16:46:00,2021-06-02 16:56:00
281855,1,2021-05-31 20:56:00,1,2021-05-31 20:57:00,1,2021-05-31 21:00:00,1,2021-05-31 21:01:00,1,2021-05-31 21:03:00,1,2021-05-31 21:03:00,1,2021-05-31 21:04:00,1,2021-05-31 21:06:00,1,2021-05-31 21:09:00,2021-05-31 21:09:00
281753,1,2021-05-31 21:14:00,1,2021-05-31 21:14:00,1,2021-05-31 21:20:00,1,2021-05-31 21:22:00,1,2021-05-31 21:29:00,1,2021-05-31 21:31:00,1,2021-05-31 21:36:00,1,2021-05-31 21:39:00,1,2021-05-31 21:46:00,2021-05-31 21:46:00
283281,1,2021-06-16 00:40:00,1,2021-06-16 00:40:00,1,2021-06-16 00:45:00,1,2021-06-16 00:47:00,1,2021-06-16 00:56:00,1,2021-06-16 00:57:00,1,2021-06-20 01:33:00,1,2021-06-20 01:41:00,1,2021-06-20 01:54:00,2021-06-20 01:54:00
283791,1,2021-06-15 21:03:00,1,2021-06-15 21:07:00,0,,1,2021-06-15 21:27:00,0,,1,2021-06-15 21:34:00,1,2021-06-15 21:38:00,1,2021-06-15 21:48:00,0,,
281370,1,2021-05-26 17:33:00,1,2021-05-26 17:35:00,1,2021-05-26 17:39:00,1,2021-05-26 17:42:00,1,2021-05-26 17:46:00,1,2021-05-26 17:47:00,1,2021-05-26 17:50:00,1,2021-05-26 17:53:00,1,2021-05-26 18:09:00,2021-05-26 18:09:00
