st_id,act_quiz1_state,act_quiz1_start_date,act_quiz1_time,act_quiz1_grade,act_quiz1_q1,act_quiz1_q2,act_quiz1_q3,act_quiz1_q4,act_quiz1_q5,act_quiz1_q6,act_quiz1_q7
283468,1.0,2021-06-14 14:30:00,366.0,5.36,1.0,1.0,0.0,0.7482517482517483,0.0,0.0,1.0
283423,1.0,2021-06-14 12:19:00,191.0,6.29,1.0,0.0,0.4965034965034965,0.4965034965034965,1.0,0.3986013986013986,1.0
283946,1.0,2021-06-16 17:55:00,455.0,7.14,1.0,1.0,0.4965034965034965,0.4965034965034965,1.0,0.0,1.0
275757,1.0,2021-04-18 18:53:00,189.0,7.15,1.0,0.0,1.0,1.0,0.0,1.0,1.0
281358,1.0,2021-05-26 15:39:00,225.0,8.57,1.0,1.0,1.0,1.0,0.0,1.0,1.0
281821,1.0,2021-05-31 13:50:00,175.0,7.38,1.0,0.0,1.0,1.0,0.6643356643356644,0.4965034965034965,1.0
280431,1.0,2021-06-16 19:11:00,548.0,7.29,1.0,1.0,0.4965034965034965,1.0,0.0,0.6013986013986015,1.0
283869,1.0,2021-06-16 11:12:00,162.0,5.24,0.0,1.0,0.4965034965034965,0.4965034965034965,0.6643356643356644,0.0,1.0
281288,1.0,2021-05-25 20:31:00,265.0,7.67,1.0,1.0,1.0,0.4965034965034965,0.6643356643356644,0.20279720279720279,1.0
284366,1.0,2021-06-20 14:46:00,294.0,7.62,1.0,1.0,1.0,0.4965034965034965,0.3356643356643357,0.4965034965034965,1.0
285358,1.0,2021-06-28 14:38:00,206.0,6.19,1.0,1.0,1.0,1.0,0.3356643356643357,0.0,0.0
283583,1.0,2021-06-14 23:48:00,334.0,4.74,1.0,0.0,0.0,0.2517482517482518,0.6643356643356644,0.3986013986013986,1.0
275415,1.0,2021-05-15 21:00:00,152.0,9.44,1.0,1.0,1.0,1.0,1.0,0.6013986013986015,1.0
283461,1.0,2021-06-14 12:56:00,158.0,5.0,0.0,1.0,0.0,0.0,1.0,0.4965034965034965,1.0
282734,1.0,2021-06-08 12:53:00,166.0,7.64,1.0,1.0,0.0,0.7482517482517483,1.0,0.6013986013986015,1.0
281523,1.0,2021-05-27 20:08:00,132.0,8.21,1.0,1.0,0.4965034965034965,0.2517482517482518,1.0,1.0,1.0
282624,1.0,2021-06-07 18:21:00,1667.0,6.21,1.0,1.0,1.0,0.2517482517482518,0.0,0.09790209790209792,1.0
282085,1.0,2021-06-02 16:27:00,241.0,3.71,0.0,1.0,0.0,0.0,0.0,0.6013986013986015,1.0
281855,1.0,2021-05-31 20:57:00,136.0,5.19,1.0,1.0,0.0,0.0,0.3356643356643357,0.30069930069930073,1.0
281753,1.0,2021-05-31 21:16:00,173.0,8.57,1.0,0.0,1.0,1.0,1.0,1.0,1.0
283281,1.0,2021-06-16 00:39:00,267.0,7.29,1.0,1.0,1.0,0.4965034965034965,0.0,0.6013986013986015,1.0
281370,1.0,2021-05-26 17:36:00,141.0,5.95,1.0,0.0,1.0,0.4965034965034965,0.6643356643356644,0.0,1.0
281785,1.0,2021-05-31 22:56:00,132.0,3.0,1.0,0.0,0.0,0.0,0.0,0.09790209790209792,1.0
281751,1.0,2021-05-30 16:14:00,229.0,7.14,1.0,1.0,1.0,1.0,0.0,0.0,1.0
284023,1.0,2021-06-17 11:06:00,440.0,6.19,1.0,0.0,1.0,1.0,0.3356643356643357,0.0,1.0
281752,1.0,2021-05-30 16:53:00,454.0,8.43,1.0,1.0,0.4965034965034965,1.0,1.0,0.3986013986013986,1.0
282630,1.0,2021-06-07 20:00:00,329.0,8.43,1.0,1.0,1.0,0.4965034965034965,1.0,0.3986013986013986,1.0
284714,1.0,2021-06-26 19:13:00,151.0,2.86,1.0,0.0,0.0,0.0,0.0,0.0,1.0
284478,1.0,2021-06-21 13:10:00,140.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,1.0
281800,1.0,2021-05-31 10:39:00,227.0,7.14,1.0,0.0,1.0,1.0,1.0,0.0,1.0
275752,1.0,2021-04-18 18:26:00,184.0,8.22,1.0,1.0,1.0,1.0,0.0,0.7482517482517483,1.0
282955,1.0,2021-06-10 09:41:00,197.0,7.62,1.0,1.0,1.0,1.0,0.3356643356643357,0.0,1.0
283225,1.0,2021-06-13 23:12:00,592.0,6.07,1.0,0.0,1.0,0.2517482517482518,0.0,1.0,1.0
280428,1.0,2021-05-19 15:50:00,197.0,2.86,0.0,1.0,0.0,0.0,0.0,0.0,1.0
286593,1.0,2021-07-08 19:26:00,74.0,4.64,1.0,1.0,0.0,0.2517482517482518,0.0,0.0,1.0
287559,1.0,2021-07-18 20:58:00,554.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
