st_id,act_quiz2_state,act_quiz2_start_date,act_quiz2_time,act_quiz2_grade,act_quiz2_q1,act_quiz2_q2,act_quiz2_q3,act_quiz2_q4,act_quiz2_q5,act_quiz2_q6
283423,1.0,2021-06-14 12:24:00,153.0,8.61,1.0,0.49700598802395207,1.0,1.0,1.0,0.6646706586826349
283946,1.0,2021-06-16 18:08:00,95.0,6.67,0.0,1.0,0.0,1.0,1.0,1.0
275359,1.0,2021-04-16 21:24:00,84.0,5.01,0.0,1.0,1.0,1.0,0.0,0.0
275757,1.0,2021-04-18 19:01:00,75.0,5.01,1.0,1.0,1.0,0.0,0.0,0.0
281358,1.0,2021-05-26 15:51:00,149.0,7.92,1.0,1.0,1.0,1.0,-0.25149700598802394,1.0
281821,1.0,2021-05-31 13:56:00,137.0,5.69,0.0,1.0,1.0,1.0,-0.25149700598802394,0.6646706586826349
280431,1.0,2021-06-16 19:23:00,125.0,4.58,0.0,1.0,1.0,1.0,-0.25149700598802394,0.0
281288,1.0,2021-05-25 20:42:00,178.0,6.25,1.0,1.0,1.0,0.0,-0.25149700598802394,1.0
284366,1.0,2021-06-20 14:56:00,171.0,7.5,0.0,0.49700598802395207,1.0,1.0,1.0,1.0
285358,1.0,2021-06-28 14:46:00,170.0,6.67,1.0,1.0,1.0,1.0,0.0,0.0
283583,1.0,2021-06-15 00:02:00,205.0,9.17,1.0,0.49700598802395207,1.0,1.0,1.0,1.0
275415,1.0,2021-05-15 21:05:00,116.0,9.17,1.0,0.49700598802395207,1.0,1.0,1.0,1.0
283461,1.0,2021-06-14 13:04:00,93.0,6.25,0.0,1.0,1.0,1.0,-0.25149700598802394,1.0
282734,1.0,2021-06-08 12:58:00,114.0,8.33,1.0,1.0,1.0,0.0,1.0,1.0
281523,1.0,2021-05-27 20:13:00,112.0,8.33,0.0,1.0,1.0,1.0,1.0,1.0
282624,1.0,2021-06-07 18:31:00,1234.0,6.67,0.0,1.0,1.0,0.0,1.0,1.0
282085,1.0,2021-06-02 16:34:00,118.0,4.58,0.0,1.0,1.0,0.0,-0.25149700598802394,1.0
281855,1.0,2021-05-31 21:00:00,70.0,2.92,0.0,0.0,1.0,0.0,-0.25149700598802394,1.0
281753,1.0,2021-05-31 21:27:00,86.0,6.67,0.0,1.0,1.0,0.0,1.0,1.0
283281,1.0,2021-06-16 00:52:00,163.0,6.67,0.0,1.0,1.0,1.0,1.0,0.0
281370,1.0,2021-05-26 17:44:00,103.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0
281785,1.0,2021-05-31 23:01:00,128.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0
281751,1.0,2021-05-30 16:20:00,240.0,7.92,1.0,1.0,1.0,1.0,-0.25149700598802394,1.0
284023,1.0,2021-06-17 11:17:00,226.0,6.25,1.0,1.0,1.0,0.0,-0.25149700598802394,1.0
281752,1.0,2021-05-30 18:28:00,303.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0
282630,1.0,2021-06-07 20:11:00,141.0,5.83,0.0,0.49700598802395207,1.0,0.0,1.0,1.0
284714,1.0,2021-06-26 19:20:00,77.0,1.67,0.0,0.0,0.0,1.0,0.0,0.0
284478,1.0,2021-06-21 13:22:00,102.0,4.58,0.0,1.0,1.0,1.0,-0.25149700598802394,0.0
281800,1.0,2021-05-31 10:46:00,993.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0
275752,1.0,2021-04-18 18:09:00,68.0,5.01,0.0,1.0,1.0,1.0,0.0,0.0
282955,1.0,2021-06-10 09:50:00,128.0,6.25,1.0,1.0,1.0,0.0,-0.25149700598802394,1.0
283225,1.0,2021-06-13 23:29:00,191.0,6.25,0.0,1.0,1.0,1.0,-0.25149700598802394,1.0
275517,1.0,2021-04-17 10:02:00,122.0,5.01,0.0,1.0,1.0,1.0,0.0,0.0
280428,1.0,2021-05-19 16:02:00,279.0,6.25,1.0,0.0,1.0,1.0,-0.25149700598802394,1.0
286593,1.0,2021-07-08 19:30:00,110.0,4.58,1.0,1.0,1.0,0.0,-0.25149700598802394,0.0
287559,1.0,2021-07-18 21:10:00,331.0,7.92,1.0,1.0,1.0,1.0,-0.25149700598802394,1.0
