st_id,act_quizf_state,act_quizf_start_date,act_quizf_time,act_quizf_grade,act_quizf_q1,act_quizf_q2,act_quizf_q3,act_quizf_q4,act_quizf_q5,act_quizf_q6,act_quizf_q7,act_quizf_q8
283423,1.0,2021-06-14 12:35:00,206.0,6.67,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
283946,1.0,2021-06-16 18:17:00,214.0,8.89,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
275757,1.0,2021-04-18 19:18:00,439.0,6.67,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
281358,1.0,2021-05-26 16:06:00,295.0,8.89,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
281821,1.0,2021-05-31 14:05:00,200.0,8.89,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
280431,1.0,2021-06-16 19:39:00,290.0,5.56,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
281288,1.0,2021-05-25 20:54:00,182.0,6.67,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
284366,1.0,2021-06-20 15:04:00,220.0,6.67,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
285358,1.0,2021-06-28 15:01:00,188.0,5.56,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
283583,1.0,2021-06-15 00:17:00,316.0,7.78,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
275415,1.0,2021-05-15 21:17:00,189.0,6.67,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
283461,1.0,2021-06-14 13:14:00,123.0,5.56,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
282734,1.0,2021-06-08 13:07:00,191.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
281523,1.0,2021-05-27 20:21:00,228.0,6.67,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
282624,1.0,2021-06-07 18:42:00,383.0,5.56,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
282085,1.0,2021-06-02 16:41:00,213.0,4.44,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
281855,1.0,2021-05-31 21:06:00,117.0,4.44,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
281753,1.0,2021-05-31 21:39:00,325.0,5.56,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
283281,1.0,2021-06-20 01:49:00,255.0,7.78,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
281370,1.0,2021-05-26 17:55:00,843.0,6.67,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
281785,1.0,2021-05-31 23:10:00,215.0,3.33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
281751,1.0,2021-05-30 16:30:00,249.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
284023,1.0,2021-06-17 11:28:00,271.0,5.56,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
281752,1.0,2021-05-30 18:37:00,708.0,6.67,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
282630,1.0,2021-06-07 20:25:00,177.0,8.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
284714,1.0,2021-06-27 18:12:00,119.0,2.22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
284478,1.0,2021-06-21 13:32:00,112.0,5.56,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
281800,1.0,2021-05-31 11:15:00,422.0,5.56,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
275752,1.0,2021-04-18 18:18:00,376.0,6.67,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
282955,1.0,2021-06-10 09:59:00,181.0,4.44,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
283225,1.0,2021-06-13 23:45:00,21000.0,6.67,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
280428,1.0,2021-05-19 16:22:00,481.0,6.67,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
286593,1.0,2021-07-08 19:38:00,99.0,3.33,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
287559,1.0,2021-07-18 21:27:00,630.0,8.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
