st_id,st_descr_pos,st_descr_neg
283423,"C'était vraiment bien aujourd'hui, je me suis réveillé à l'heure que je voulais, vers 7h30. J'ai pris mon café noir sans sucre. J'ai pu réfléchir à ma vie, avenir, ce que je voulais vraiment pendant 1h, ensuite j'ai lu et fait du sport. J'ai mangé vers 13h pour couper mon jeûne intermittent.&nbsp;L'après midi, j'ai lu beaucoup d'articles sur les cryptos et trouvé un autre investissement à faire, ensuite j'ai pensé aux futurs investissements que je voulais faire. J'ai retrouvé mes amis, bu un café, parlé et on a mangé ensemble sur la plage.&nbsp; &nbsp;","je n'ai que rarement de mauvaises journées comme aujourd'hui, je n'ai pas bien dormi ce qui m'a empêché de me lever tôt et de me sentir bien. Mais le café règle presque tout ainsi que le sport et la lecture. Je n'ai pas trouvé d'investissements à faire mais j'ai continué à lire beaucoup de documents. Mes amis sont aussi toujours là pour me soutenir. J'espère que demain sera plus productif."
283946,"Aujourd'hui, c'est les vacances. Tous les projets à rendre ont été finis à temps, je n'ai plus rien d'urgent à faire. Je fais une promenade au parc avec mes sœurs. Nous rejoignons des amis pour faire un basket, on compte pas vraiment les points (mais on gagne, bien sûr ^^).&nbsp; En rentrant à la maison, on mange un bon repas puis je passe l'après-midi à lire.","Après avoir passé toute la journée à l'école, avec des cours plus ou moins intéressants, j'ai encore une réunion pas vraiment préparée ce soir et trois projets à avancer. Des projets de groupe, bien sûr, donc il faut adapter notre organisation. Le repas du resto U n'était pas bon, il pleuvait et comme je suis sortie un peu tard de cours, j'ai mangé toute seule. Vous devriez mettre cette question avant l'autre, ce serait plus agréable je pense."
281358,"Aujourd'hui j'ai passé une très bonne journée. J'ai résolu un problème qui bloquait le projet sur lequel je travaille, j'ai appris de nouvelles choses grâce aux membres de mon équipe. Le soir j'ai retrouvé mes amis pour prendre un verre, dîner et nous avons parlé de tous et de rien.","J'ai passé une mauvaise journée. Peu importe ce que j'entreprenais, je rencontrais toujours une certaine forme de résistance. Je suis aussi frustré parce que je n'ai pas réussi à m'entendre avec un collègue et cela a entraîné un conflit. Et ce soir je n'ai pas pu me reposer, il y avait encore trop de corvées à faire."
281821,"Je me réveille sans réveil sur les coups de 9-10h, je prend mon café et consulte mes éventuels notifications, mails etc. Après un petit déjeuner raisonnable, je pars faire une séance de sport à la salle avec des amis ou de la famille, pour allier l'effort à l'agréable. Je rentre après m'être dépensé et je prends une bonne douche ainsi qu'un bon repas. J'enchaîne sur une après-midi de travail pendant 4-5h. Puis je me détends 1-2h avec des amis sur un jeu. Je sors m'occuper un peu du jardin et des poules. Je prépare ensuite le dîner pour ma copine et moi, qu'on déguste devant une petite série avant de se coucher vers 23h-minuit.","Je me réveille fatigué, avec un mal de ventre après avoir trop mangé la veille. J'évite donc le petit-déjeuner, je prends juste mon café, qui me réveille à peine. Ne me sentant pas en forme, j'évite de faire du sport, ce qui me fait me sentir encore plus mal. Je mange peu ce jour-là, donc j'ai peu d'énergie. Je travail sans conviction, je suis peu motivé. Ma journée de travail se termine et j'ai l'impression de n'avoir rien accompli. Le soir en rentrant je me plains de ma vie alors que je n'ai rien fait pour ça aille. Et en pensant à cela, je culpabilise encore plus. Mais la nuit me portera conseille."
280431,"I woke up early in the morning and I was able to go out for a quick run, I got back just in time to have breakfast with my family. I was able to seat in front of the computer just in time for teaching my class. I had several meetings today and there were many new ideas and promising projects with my students. After a long day of work I went out to have a beer with my friend John, but I got back soon as tomorrow I have to start earlier than today.&nbsp;","Yesterday was not a good day for me, work was pretty stressing with many meetings scheduled and no time for breaks. In the morning I was late for work and could not have any coffee before my first meeting. Lunch was fine, but returning to work was complicated, there was too much traffic and almost miss my afternoon lecture. I could not have a run today, not even in the evening because it was rainy.&nbsp;"
281288,"Je me suis réveillée tranquillement le matin, j'ai pris mon petit déjeuner accompagné d'un bon café. J'ai eu une journée de travail très productive. En rentrant le soir, j'ai pu faire du sport puis sortir prendre un verre avec des amis. La soirée finie, je suis rentrée chez moi et je me suis installée confortablement&nbsp; pour regarder une série puis lire un livre.","Aujourd'hui, je me suis réveillée assez fatiguée ayant passé une mauvaise nuit. Je n'ai pas réussi à me concentrer dans mon travail. Mon cours de sport a par la suite été annulé à la dernière minute à cause du mauvais temps."
284366,"Aujourd'hui je me suis réveillé avec le sourire en sachant que ma journée serait stimulante et intéressante. J'ai pris un petit déjeuner bien complet comprenant du beurre de cacahuète, de l'avoine et une banane. Eventuellement un petit carré de chocolat pour la folie. J'ai bu un bon demi-litre d'eau ou de thé puis je me suis mis en route en vélo après avoir embrassé ma chérie.En arrivant, j'ai dis bonjour à tout le monde et discuté. Nous débattons de sujets politiques et pouvons y passer une bonne partie de la matinée, mais ça fait partie de mes recherches que de m'interroger sur les comportements des gens.&nbsp;La journée passe, je ne mange pas à midi, je rentre chez moi, retrouve ma chérie et nous nous racontons notre journée respective. Nous faisons une séance de sport ensemble, un peu plus longue pour moi. Nous cuisinons à deux un plat asiatique puis allons faire une petite balade dehors avant de venir regarder un film, faire l'amour et se coucher.","Aujourd'hui, dimanche, je me suis levé en forme vers 8h30 sans mon réveil. Motivé pour faire du sport, j'ai pris mon petit déj' seul. J'ai pensé à ma Chérie, actuellement à l'étranger pendant encore deux mois et à ce que j'allais faire. Je n'ai pas trouvé la motivation de faire du sport donc j'ai pensé au lendemain où j'irai comme chaque jour au boulot faire quelque chose que je n'aime pas, qui ne me passionne pas et que je trouve vide de sens.Le midi j'ai voulu faire du sport, mais comme d'habitude je m'y suis pris trop tard et pour manger en simultanée avec ma copine nous avons des heures, donc je n'ai fait qu'une demie séance.Puis la journée a passé lentement, j'ai discuté avec ma mère de politique, elle ne comprend rien et sort encore des idées proches de l'extrême droite, j'ai fini par raccroché dépité. Chaque heure, je me dis que la semaine va arriver et que je n'attends qu'à partir de cette ville."
285358,"Ce matin réveil 05h, non pas car j'aime me réveiller tôt, mais quand les journées commencent tôt, j'ai le temps de faire énormément d'activités. Aujourd'hui est une journée dans laquelle je vais réaliser mes trois activités favorites : le paintball, le karting et un escape room.Le paintball et le karting sont physiques mais également mentaux. Ils permettent de réfléchir à un plan qui a comme objectif de gagner. De plus ils gênèrent énormément d'adrénaline, rien de plus plaisant pour le corps.L'escape room est pour moi la meilleure de toutes les activités, car elle requière la communication et donc apprendre de quelle manière je peux communiquer au mieux avec mes coéquipiers et surtout elle demande de résoudre des énigmes et j'adore résoudre des énigmes. Un de mes jeux préférés est le mastermind.Après cette énorme journée, je serai rentrée chez moi. J'aurai pris une douche, car rien de plus désagréable que de sortir prendre un verre et d'être sale. Et s'il me restait encore de l'energie, je serais aller prendre un verre et danser en boite de nuit avec mes copains, en oubliant le regard des autres et les relous qui veulent se frotter à toi. Danser seule, juste pour me depenser et me defouler sous les rythmes de la musique.Rentrer au petit matin, les chaussures à la main en regardant Paris se lever, les employés qui installent les terrasses de restaurant, l'odeur de la baguette chaude du boulanger et rentrer sous un vent frais dormir au chaud sous une énorme couette.Je pense que ça serait la journée idéale pour moi.&nbsp;","Aujourd'hui est un lundi. Je n'aime pas les lundi, car je ne suis pas efficace. Je n'ai pas envie de travailler, je n'ai ni la motivation ni l'énergie. Les camarades de l'école ont tenu des propos lourds et ça m'a blessé. J'ai passé ma journée à essayer de finir au moins une tâche, mais impossible pour moi.&nbsp;Je rentre, il y a énormément de monde dans les transports, il fait chaud, les gens ne respectent pas la vie en communauté, ils parlent forts, crachent par terre, s'expriment mal. Un grand monsieur me colle, mais vu l'affluence je ne sais pas s'il me frotte ou si c'est l'affluence qui fait que sa main se pose involontairement contre moi. Mais j'en doute. Tout ce que je déteste, avoir ce doute.&nbsp;Je suis partie de l'école tard, pour essayer de trouver la motivation de bosser, mais en vain. Je suis partie en début de soirée et je rentrais donc seule. En rentrant je vois tout le monde en terrasse et moi sans vie sociale qui rentre me coucher chez moi. Je portais mes sacs lourds sur mes épaules et je comptais mes pas pour tenir jusqu'à mon immeuble. J'avais envie de craquer et de pleurer. Je rentre et je m'effondre en pleur. Je vais me coucher car il est temps que cette journée de merde se finisse."
283583,"Aujourd'hui les rayons de soleil on filtré à travers les branches d'arbre quand je me suis réveillée, il fera beau. Je vais préparer un pique-nique et nous allons faire une belle promenade en montagne avec mon mari. J'ai heureusement pensé à charger mon téléphone et les cartes sont prête. Nous partons d'un pas vif dans la fraîcheur du matin. C'est un bonne idée de partir tôt pour éviter les moustiques. J'ai pensé à prendre un papier et un crayon pour noter des idées. C'est souvent en se promenant qu'elle viennent. Après la pause déjeuner au bord d'un lac magnifique qui reflète les montagnes et les arbres, je griffonne sur le papier quelques idées et je m'assoupis. La chaleur m'engourdit. Je pense au bon bain qui m'attend en rentrant. Le soir je m'endors d'un profond sommeil.","Ce matin je me suis réveillée avec des palpitations cardiaques. Un cauchemar sans-doute, mais en m'éveillant je ne peux plus me rappeler de quoi il s'agissait. Je me sens épuisée et quand je regarde la montre, zut, panne de courant, je suis coupée du monde. Justement aujourd'hui il y avait une date butoir importante. Dans l'espoir de pouvoir contacter mes collègues, je prends mon téléphone. Hélas il est déchargé. Du coup, je décide d'aller faire un jogging. En courant je glisse sur une peau de banane et je me tord la cheville. Je rentre en boitant. Quand je m'approche de la maison, je vois au loin de la lumière indiquant que le courant est revenu. Je consulte ma montre: trop tard, j'ai manqué ma date butoir."
282734,"Je me suis réveillé vers 8h, j'ai mangé des tartines de cancoillotte avec un reste de tajine pour le petit déjeuner, puis pris une superbe douche avec un savon qui sent le poivre vert.&nbsp;Ensuite, j'ai fait un trajet en train de Lyon à Paris à l'avant de la cabine, en observant tout et en discutant avec le conducteur. L'arrivée à Paris Gare de Lyon était fantastique.&nbsp;Pareil dans le métro, puis je suis arrivé dans mon foyer ou une bonne amie m'attendait pour que nous puissions cuisiner ensemble un superbe cheesecake.&nbsp;Dans la soirée, j'ai aidé une personne à travailler sur la notion de pédagogie éducative pour son projet de recherche, puis dodo.&nbsp;","Je me suis réveillé à 13h parce que j'étais crevé de ma semaine. Les gens m'engueulent parce que je leur avait promis des trucs, puis c'est au tour de ma directrice de foyer de me ""proposer"" de m'expulser pour des raisons absolument illégales.&nbsp;Comble de tout, l'on m'appelle pour régler des problèmes administratifs complexes en me rappelant que je m'étais engagé à le faire, puis une douce voix vient me dire que de son côté tout va bien et évidemment je n'ai personne autour de moi pour écouter ma colère.&nbsp;Snif, ce fut une mauvaise journée, plus commune cependant que la première.&nbsp;"
