st_id,st_nb_action,st_age,st_french,st_ed_level,st_ed_field,st_motivation,final_grade,%_completion,act_quiz_total_time,act_quiz_avrg_grade,score_visual,score_verbal,score_factual,score_practical,score_retention,score_deduction
283423,12.0,24.0,1.0,5.0,4.0,1.0,6.67,1.0,484.0,6.3566666666666665,0.7319347319347318,0.7562375249500999,0.25,0.7485029940119761,0.697146790335413,0.5461908351129908
283946,20.0,20.0,1.0,3.0,1.0,1.0,8.89,1.0,656.0,6.826666666666665,0.6655011655011654,0.75,0.75,0.5,0.41608391608391604,0.9166666666666666
281358,12.0,23.0,1.0,5.0,1.0,1.0,8.89,1.0,475.0,8.83,0.8333333333333333,0.7914171656686626,1.0,1.0,1.0,0.8123752495009979
281821,10.0,24.0,1.0,4.0,1.0,1.0,8.89,1.0,407.0,7.69,0.8601398601398602,0.48552894211576847,1.0,1.0,0.875,0.7978344011278143
280431,19.0,39.0,2.0,8.0,1.0,3.0,5.56,1.0,807.0,5.346666666666667,0.6829836829836831,0.49975049900199603,0.5,0.248502994011976,0.520541958041958,0.4450766299568695
281288,18.0,23.0,1.0,5.0,1.0,1.0,6.67,1.0,587.0,7.140000000000001,0.7272727272727273,0.624750499001996,0.75,0.7485029940119761,0.833041958041958,0.5922211521013916
284366,12.0,25.0,1.0,7.0,1.0,1.0,6.67,1.0,536.0,7.816666666666667,0.7214452214452214,0.812125748502994,1.0,0.5,0.614104832293455,0.9026806526806527
285358,16.0,23.0,1.0,5.0,3.0,1.0,5.56,1.0,501.0,7.343333333333334,0.5559440559440559,0.6666666666666666,1.0,0.7485029940119761,1.0,0.4855568583113493
283583,15.0,59.0,1.0,8.0,1.0,1.0,7.78,1.0,755.0,7.136666666666667,0.5524475524475525,0.812125748502994,0.75,0.7485029940119761,0.7603752285638513,0.67116291891741
282734,11.0,19.0,1.0,2.0,3.0,1.0,10.0,1.0,507.0,8.1,0.7249417249417249,0.8333333333333333,0.75,1.0,0.8956876456876457,0.7584498834498834
281523,12.0,22.0,1.0,5.0,1.0,2.0,6.67,1.0,347.0,8.29,0.7913752913752914,0.875,1.0,0.5,0.5831876456876457,1.0
282085,10.0,24.0,1.0,5.0,1.0,2.0,4.44,1.0,452.0,5.263333333333333,0.2668997668997669,0.49975049900199603,1.0,0.248502994011976,0.4375,0.5700766299568695
281855,10.0,20.0,1.0,2.0,4.0,1.0,4.44,1.0,285.0,5.760000000000001,0.43939393939393934,0.37475049900199603,1.0,0.7485029940119761,0.7083333333333333,0.5729903828706224
281753,20.0,25.0,1.0,5.0,1.0,1.0,5.56,1.0,336.0,7.8566666666666665,1.0,0.5833333333333333,1.0,0.5,0.625,0.9166666666666666
283281,18.0,44.0,2.0,8.0,1.0,1.0,7.78,1.0,654.0,6.043333333333334,0.6829836829836831,0.7083333333333333,0.5,0.248502994011976,0.645541958041958,0.4243680471225382
281370,13.0,21.0,1.0,4.0,1.0,2.0,6.67,1.0,321.0,7.816666666666666,0.6934731934731935,0.875,0.75,0.7485029940119761,0.895541958041958,0.6379461357006267
281785,10.0,26.0,2.0,6.0,1.0,2.0,3.33,1.0,380.0,6.833333333333333,0.34965034965034963,0.875,1.0,0.248502994011976,0.5208333333333333,0.7157433384978296
281751,16.0,24.0,1.0,5.0,4.0,2.0,10.0,1.0,740.0,7.52,0.6666666666666666,0.7914171656686626,0.75,0.7485029940119761,1.0,0.4782934131736527
284023,16.0,33.0,1.0,5.0,4.0,1.0,5.56,1.0,791.0,6.923333333333335,0.7226107226107226,0.49975049900199603,0.75,1.0,0.9375,0.5486806108063593
281752,10.0,26.0,2.0,5.0,1.0,2.0,6.67,1.0,972.0,8.086666666666666,0.8158508158508158,1.0,0.5,0.7485029940119761,0.833041958041958,0.6991349468894379
282630,12.0,24.0,1.0,5.0,1.0,1.0,8.89,1.0,597.0,7.53,0.8158508158508158,0.6454590818363273,1.0,0.5,0.614104832293455,0.8665501165501165
284478,12.0,29.0,1.0,5.0,4.0,1.0,5.56,1.0,338.0,3.393333333333333,0.16666666666666666,0.37475049900199603,0.5,0.248502994011976,0.375,0.26996007984031933
281800,13.0,23.0,1.0,5.0,1.0,1.0,5.56,1.0,1435.0,9.046666666666667,0.8333333333333333,0.875,1.0,1.0,0.9375,0.9166666666666666
282955,17.0,23.0,1.0,5.0,4.0,1.0,4.44,1.0,429.0,6.846666666666667,0.7226107226107226,0.624750499001996,0.75,0.5,0.75,0.5486806108063593
283225,15.0,23.0,2.0,5.0,1.0,2.0,6.67,1.0,918.0,5.496666666666667,0.7086247086247086,0.5414171656686626,0.5,0.248502994011976,0.4376456876456877,0.561626746506986
280428,19.0,18.0,1.0,1.0,1.0,2.0,6.67,1.0,905.0,5.26,0.16666666666666666,0.6664171656686626,0.75,0.5,0.4375,0.6040419161676647
286593,11.0,23.0,1.0,5.0,4.0,1.0,3.33,1.0,275.0,4.739999999999999,0.37529137529137524,0.45808383233532934,0.5,0.5,0.6043123543123543,0.312375249500998
287559,14.0,24.0,1.0,5.0,2.0,1.0,8.89,1.0,1178.0,7.916666666666667,1.0,0.7914171656686626,0.5,0.7485029940119761,1.0,0.5199600798403193
