age_band,highest_education,total_sum_click,target
2,1,3374,0
2,1,1203,0
1,2,622,0
2,2,1140,0
2,1,527,1
1,1,348,0
1,1,718,0
1,1,260,0
2,2,3249,1
2,2,1275,1
1,1,692,0
1,1,360,1
1,1,2924,1
1,1,2142,1
1,2,1967,1
1,1,106,0
1,2,425,1
1,1,2458,1
2,1,1330,1
1,1,2656,1
1,1,558,0
1,1,584,1
1,1,311,0
1,1,364,1
1,2,411,0
1,2,3331,1
1,1,4767,1
1,1,770,0
2,2,531,1
1,1,371,0
2,1,3394,1
2,1,1311,1
2,1,302,0
2,1,3389,1
2,2,1860,0
1,2,1103,0
2,3,1441,0
1,1,185,0
1,1,2451,1
2,2,857,0
1,1,465,1
1,1,3893,1
1,1,1260,1
1,1,1294,1
1,1,138,0
1,2,1391,1
1,3,756,1
2,1,2804,1
1,1,452,1
1,1,2340,1
2,2,389,1
2,1,381,0
1,1,1340,1
1,1,603,0
1,2,1542,0
2,2,3733,0
2,1,1590,0
1,1,1056,1
1,2,699,0
1,1,1413,1
2,1,317,0
1,2,1419,1
1,1,2027,1
1,1,671,0
1,1,603,0
1,1,202,0
1,1,355,0
1,1,305,0
2,2,1677,1
1,2,502,1
1,1,1091,1
1,1,1170,0
1,1,4,0
1,1,263,0
1,1,594,0
1,1,163,0
1,2,177,0
1,1,240,0
2,2,399,0
2,2,52,0
1,1,105,0
1,1,4169,0
1,1,231,0
2,1,531,1
1,1,1581,1
1,1,227,0
1,1,67,0
1,1,742,1
1,1,330,1
1,1,104,0
1,1,368,0
1,1,267,0
1,1,312,1
2,1,404,0
1,1,836,0
1,1,202,0
1,1,1084,1
1,1,712,0
1,1,1139,0
1,1,1400,1
1,1,729,0
1,2,166,0
1,2,2258,1
2,2,972,0
1,1,875,0
2,1,3724,1
1,1,2073,1
1,1,170,0
1,2,1360,1
1,1,15,0
1,1,801,1
1,2,167,0
1,1,889,1
1,1,70,0
1,1,653,1
1,1,733,0
2,1,1578,1
1,1,374,0
1,1,96,0
2,3,223,0
1,1,2744,1
