age_DI,LoE_DI,nevents,target
1,2,45.0,0
1,2,35.0,0
1,2,67.0,0
1,2,74.0,0
1,2,13.0,0
1,2,38.0,0
1,2,469.0,0
1,2,28.0,0
1,2,488.0,1
1,2,96.0,0
1,2,28.0,0
1,2,91.0,0
1,2,162.0,0
1,2,287.0,0
1,2,238.0,0
1,2,417.0,1
1,2,132.0,0
1,2,1.0,0
1,2,71.0,1
1,2,40.0,0
1,2,54.0,0
1,2,39.0,0
1,2,143.0,0
1,2,35.0,0
1,2,13.0,1
1,2,238.0,1
1,2,54.0,1
1,2,69.0,0
1,2,38.0,0
1,2,115.0,0
1,2,570.0,1
1,2,179.0,1
1,2,137.0,0
1,2,19.0,0
1,2,3.0,0
1,2,64.0,0
1,2,58.0,0
1,2,201.0,0
1,2,11.0,0
1,2,162.0,0
1,2,255.0,0
1,2,275.0,0
1,2,25.0,0
1,2,61.0,0
1,2,274.0,0
1,2,13.0,0
1,2,82.0,0
1,2,274.0,0
1,2,53.0,0
1,2,34.0,0
1,2,266.0,0
1,2,20.0,0
1,2,22.0,0
1,2,71.0,0
1,2,38.0,0
1,2,73.0,0
1,2,178.0,1
1,2,443.0,0
1,2,26.0,0
1,2,25.0,0
1,2,48.0,0
1,2,14.0,0
1,2,32.0,0
1,2,14.0,0
1,2,13.0,0
1,2,28.0,0
1,2,27.0,1
1,2,31.0,1
1,2,137.0,1
1,2,65.0,1
1,2,36.0,0
1,2,80.0,1
1,2,159.0,1
1,2,1.0,0
1,2,59.0,0
1,2,101.0,0
1,2,4.0,1
1,2,24.0,0
1,2,155.0,1
1,2,546.0,1
1,2,63.0,0
1,2,110.0,0
1,2,45.0,0
1,2,39.0,1
1,2,213.0,1
1,2,4.0,1
1,2,84.0,0
1,2,18.0,0
1,2,28.0,0
1,2,319.0,0
1,2,142.0,0
1,2,167.0,0
1,2,67.0,0
1,2,91.0,0
1,2,112.0,0
1,2,26.0,0
1,2,22.0,0
1,2,320.0,0
1,2,211.0,0
1,2,1.0,0
1,2,199.0,1
1,2,337.0,1
1,2,6.0,1
1,2,135.0,1
1,2,60.0,0
1,2,581.0,0
1,2,1.0,1
1,2,1540.0,0
1,2,383.0,1
1,2,198.0,1
1,2,168.0,1
1,2,317.0,1
1,2,65.0,0
1,2,15.0,0
1,2,16.0,1
1,2,10.0,0
1,2,4.0,0
1,2,23.0,0
1,2,171.0,1
1,2,140.0,1
1,2,26.0,0
1,2,146.0,1
1,2,33.0,0
1,2,37.0,0
1,2,195.0,0
1,2,29.0,0
1,2,48.0,0
1,2,221.0,1
1,2,48.0,1
