code_module,code_presentation,id_student,total_sum_click
AAA,2013J,28400,1435
AAA,2013J,30268,281
AAA,2013J,31604,2158
AAA,2013J,32885,1034
AAA,2013J,38053,2445
AAA,2013J,45462,1492
AAA,2013J,58873,1732
AAA,2013J,59185,1102
AAA,2013J,62155,3388
AAA,2013J,63400,2737
AAA,2013J,65002,171
AAA,2014J,65002,5
AAA,2013J,70464,1053
AAA,2013J,71361,2327
AAA,2013J,75091,2992
AAA,2013J,57506,1319
AAA,2013J,77367,680
AAA,2013J,94961,339
AAA,2014J,94961,901
AAA,2013J,98094,2839
AAA,2013J,101781,4104
AAA,2013J,102806,1944
AAA,2013J,106577,733
AAA,2013J,104476,4777
AAA,2013J,110175,998
AAA,2013J,114999,1358
AAA,2013J,111717,2343
AAA,2013J,116692,1108
AAA,2013J,127582,1321
AAA,2013J,129955,1011
AAA,2014J,129955,877
AAA,2013J,132976,520
AAA,2013J,135335,57
AAA,2014J,135335,16
AAA,2013J,134143,2732
AAA,2013J,137873,5528
AAA,2013J,118983,284
AAA,2013J,123044,2041
AAA,2013J,144801,5645
AAA,2013J,146188,597
AAA,2013J,145130,452
AAA,2013J,147756,611
AAA,2014J,147756,1107
AAA,2013J,148993,1864
AAA,2014J,148993,1948
AAA,2013J,235507,190
AAA,2014J,235507,1067
AAA,2013J,238007,1935
AAA,2013J,241649,1892
AAA,2013J,248270,1969
AAA,2013J,255548,2580
AAA,2013J,258392,844
AAA,2013J,256815,1481
AAA,2013J,258894,4963
AAA,2013J,241729,1829
AAA,2013J,242793,658
AAA,2013J,246834,1174
AAA,2013J,262934,2407
AAA,2013J,271251,3348
AAA,2013J,279572,1183
AAA,2013J,281250,130
AAA,2013J,282821,1961
AAA,2013J,291334,5231
AAA,2013J,296332,2152
AAA,2013J,298696,514
AAA,2013J,300398,1997
AAA,2013J,287548,483
AAA,2013J,302302,513
AAA,2013J,305539,68
AAA,2013J,306897,2742
AAA,2013J,306466,1220
AAA,2013J,307866,1476
AAA,2013J,312537,12882
AAA,2013J,312782,281
AAA,2013J,155854,4003
AAA,2013J,155550,1529
AAA,2013J,155984,908
AAA,2014J,155984,1737
AAA,2013J,159954,1185
AAA,2014J,159954,877
AAA,2013J,164259,466
AAA,2013J,167906,1510
AAA,2013J,180753,2012
AAA,2013J,181316,487
AAA,2013J,184271,1312
AAA,2013J,186149,2136
AAA,2013J,185439,427
AAA,2013J,183096,1975
AAA,2013J,187100,8562
AAA,2013J,188278,1434
AAA,2014J,188278,3063
AAA,2013J,192183,3219
AAA,2013J,172797,1782
AAA,2013J,172112,1939
AAA,2013J,175392,4447
AAA,2013J,174782,6318
AAA,2013J,175932,2016
AAA,2013J,200860,534
AAA,2013J,202635,1418
AAA,2013J,205350,1665
AAA,2013J,227499,2953
AAA,2013J,227517,1205
AAA,2013J,229361,1215
AAA,2013J,228082,227
AAA,2013J,318933,1281
AAA,2013J,319047,6589
AAA,2013J,321942,10083
AAA,2013J,324084,1961
AAA,2013J,324282,133
AAA,2013J,331358,2376
AAA,2014J,331358,4212
AAA,2013J,334333,303
AAA,2013J,333323,648
AAA,2013J,335764,2286
AAA,2014J,335764,1642
AAA,2013J,336207,1316
AAA,2013J,342007,880
AAA,2014J,342007,2298
AAA,2013J,342514,1950
AAA,2013J,342972,838
AAA,2013J,343446,3644
AAA,2013J,350188,761
AAA,2013J,365642,2129
AAA,2013J,368963,677
AAA,2013J,376439,2342
AAA,2013J,380953,1062
AAA,2013J,386952,910
AAA,2013J,392931,3003
AAA,2013J,393207,876
AAA,2013J,396872,996
AAA,2013J,388722,671
AAA,2013J,388885,875
AAA,2013J,401869,955
AAA,2013J,405088,1388
AAA,2013J,404804,509
AAA,2013J,414117,807
AAA,2013J,415969,1359
AAA,2014J,415969,58
AAA,2013J,470588,400
AAA,2014J,470588,442
AAA,2013J,489455,2832
AAA,2013J,441018,646
AAA,2013J,442442,1009
AAA,2013J,512460,521
AAA,2013J,588775,7067
AAA,2013J,603861,955
AAA,2014J,603861,150
AAA,2013J,544103,2328
AAA,2013J,550383,910
AAA,2013J,749412,4007
AAA,2013J,704156,3064
AAA,2013J,705379,5680
AAA,2013J,721259,1228
AAA,2014J,721259,2880
AAA,2013J,760729,7288
AAA,2013J,949618,1357
AAA,2013J,958987,1216
AAA,2013J,978739,5988
AAA,2013J,971027,3098
AAA,2013J,968578,870
AAA,2013J,1686521,643
AAA,2013J,1729319,2756
AAA,2013J,1758449,2756
AAA,2013J,1765788,7057
AAA,2013J,1847830,6518
AAA,2013J,1860318,5975
AAA,2013J,1889511,1754
AAA,2013J,1894188,4294
AAA,2013J,1801641,459
AAA,2013J,1938355,1992
AAA,2013J,1970390,11139
AAA,2014J,1970390,3620
AAA,2013J,1976139,1216
AAA,2013J,2550279,2809
AAA,2013J,2551220,1327
AAA,2013J,2555340,4441
AAA,2013J,2557283,7262
AAA,2013J,2559575,650
AAA,2013J,2569324,26
AAA,2014J,2569324,467
AAA,2013J,2574583,1890
AAA,2013J,2576122,250
AAA,2014J,2576122,11
AAA,2013J,2574528,988
AAA,2013J,2598871,2049
AAA,2013J,2599352,1160
AAA,2013J,2600688,582
AAA,2013J,2606098,491
AAA,2013J,2671132,3720
AAA,2013J,2678643,2287
AAA,2013J,2685865,2815
AAA,2013J,2617002,1473
AAA,2013J,2688067,289
AAA,2013J,2689958,3929
AAA,2013J,2691206,2297
AAA,2013J,2578995,1326
AAA,2013J,2639641,2042
AAA,2013J,2639449,797
AAA,2013J,2641155,4109
AAA,2013J,2643002,2434
AAA,2013J,2649826,5974
AAA,2013J,2051699,1734
AAA,2013J,2104505,701
AAA,2013J,2122180,4712
AAA,2013J,2139353,1262
AAA,2014J,2139353,1126
AAA,2013J,2143752,1888
AAA,2013J,2146792,2385
AAA,2013J,2062879,2386
AAA,2013J,2080474,1146
AAA,2013J,2083877,685
AAA,2013J,2149225,319
AAA,2013J,2164705,231
AAA,2013J,2171627,1346
AAA,2013J,2182846,4214
AAA,2013J,2197016,1455
AAA,2013J,2194100,1401
AAA,2013J,1035023,1896
AAA,2013J,1105478,1695
AAA,2013J,1456619,467
AAA,2014J,1456619,706
AAA,2013J,1488959,3493
AAA,2013J,1518989,4202
AAA,2013J,1352868,641
AAA,2014J,1352868,1091
AAA,2013J,1402638,910
AAA,2013J,1401935,240
AAA,2013J,1620151,998
AAA,2013J,1626710,6025
AAA,2013J,1640609,5061
AAA,2013J,2229865,3236
AAA,2013J,2255601,2543
AAA,2013J,2312620,1129
AAA,2013J,2342426,1814
AAA,2013J,2358056,1588
AAA,2013J,2278464,307
AAA,2013J,2293923,303
AAA,2013J,2358969,373
AAA,2014J,2358969,1733
AAA,2013J,2364471,7182
AAA,2013J,2369266,2146
AAA,2013J,2367155,2148
AAA,2013J,2376496,749
AAA,2013J,2391984,818
AAA,2013J,2412002,3344
AAA,2013J,2411778,1497
AAA,2013J,2412967,2458
AAA,2013J,2449878,622
AAA,2013J,2470694,2176
AAA,2014J,2470694,939
AAA,2013J,2479954,323
AAA,2013J,2481901,1949
AAA,2013J,2482700,1616
AAA,2013J,2498700,2864
AAA,2013J,2456480,183
AAA,2013J,2460080,3424
AAA,2013J,2457256,1611
AAA,2013J,2458355,4187
AAA,2013J,2521459,1078
AAA,2013J,2523736,470
AAA,2013J,2529279,1189
AAA,2013J,2532302,1216
AAA,2013J,2536991,1080
AAA,2013J,2542724,228
AAA,2013J,2437837,2684
AAA,2013J,2516503,3070
AAA,2013J,2518069,1617
AAA,2013J,2566592,1359
AAA,2013J,2666246,612
AAA,2013J,2664024,808
AAA,2013J,2676809,309
AAA,2013J,2639540,1964
AAA,2013J,2694424,4218
AAA,2013J,2698257,758
AAA,2013J,2586560,2905
AAA,2013J,2594139,1868
AAA,2013J,969076,1980
AAA,2013J,1746134,1759
AAA,2013J,1942396,470
AAA,2013J,1801229,1443
AAA,2013J,2268379,1685
AAA,2013J,2011876,1401
AAA,2013J,1465690,3460
AAA,2013J,1414443,1907
AAA,2013J,572652,780
AAA,2013J,365244,891
AAA,2013J,368194,437
AAA,2013J,354858,198
AAA,2013J,364177,821
AAA,2013J,240712,321
AAA,2013J,260355,426
AAA,2013J,100893,744
AAA,2013J,45642,1428
AAA,2013J,147793,155
AAA,2013J,113295,3553
AAA,2013J,114017,757
AAA,2013J,141355,1823
AAA,2013J,324002,1901
AAA,2013J,346025,569
AAA,2013J,290757,652
AAA,2013J,281589,59
AAA,2013J,307061,1081
AAA,2013J,231554,1839
AAA,2013J,157568,1405
AAA,2013J,392756,363
AAA,2013J,402470,1445
AAA,2013J,390890,639
AAA,2014J,390890,358
AAA,2013J,508818,1129
AAA,2013J,189879,1541
AAA,2013J,91265,1494
AAA,2013J,295741,709
FFF,2014B,295741,2390
AAA,2013J,277880,2016
AAA,2014J,277880,12
AAA,2013J,290201,1740
AAA,2013J,305152,146
AAA,2013J,281022,492
AAA,2013J,333059,301
AAA,2013J,905042,3004
AAA,2013J,2469673,523
AAA,2013J,2411661,574
AAA,2013J,2691244,472
AAA,2013J,2084066,1967
AAA,2013J,2155014,1454
AAA,2013J,1889577,931
AAA,2013J,398552,1183
AAA,2013J,441888,739
AAA,2013J,444677,1241
AAA,2013J,494424,58
AAA,2013J,383254,543
AAA,2013J,564450,224
AAA,2013J,334259,332
AAA,2013J,175991,138
AAA,2013J,53025,3158
AAA,2013J,262011,1066
AAA,2013J,294570,1775
AAA,2013J,286488,1046
AAA,2013J,591774,605
AAA,2013J,2012966,519
