code_module,code_presentation,id_student,avrg_past_grade,exam_grade,completed,weighted
AAA,2013J,11391,82.4,,1,1
AAA,2013J,28400,65.4,,1,1
AAA,2013J,31604,76.3,,1,1
AAA,2013J,32885,55.0,,1,1
AAA,2013J,38053,66.9,,1,1
AAA,2013J,45462,67.8,,1,1
AAA,2013J,45642,72.5,,1,1
AAA,2013J,52130,71.2,,1,1
AAA,2013J,53025,79.0,,1,1
AAA,2013J,57506,74.0,,1,1
AAA,2013J,58873,73.7,,1,1
AAA,2013J,59185,80.8,,1,1
AAA,2013J,62155,76.4,,1,1
AAA,2013J,63400,71.2,,1,1
AAA,2013J,65002,67.33333333333333,,0,1
AAA,2014J,65002,67.33333333333333,,0,1
AAA,2013J,70464,53.5,,1,1
AAA,2013J,71361,79.7,,1,1
AAA,2013J,74372,46.857142857142854,,0,1
AAA,2013J,75091,65.8,,1,1
AAA,2013J,77367,69.5,,1,1
AAA,2013J,91265,69.0,,1,1
AAA,2013J,94961,74.0,,0,1
AAA,2014J,94961,61.7,,1,1
AAA,2013J,98094,60.6,,1,1
AAA,2013J,100893,68.7,,1,1
AAA,2013J,101781,71.6,,1,1
AAA,2013J,102806,76.0,,1,1
AAA,2013J,102952,77.1,,1,1
AAA,2013J,104476,78.9,,1,1
AAA,2013J,106247,58.6,,0,1
AAA,2013J,106577,54.2,,1,1
AAA,2013J,110175,63.7,,1,1
AAA,2013J,111717,81.5,,0,1
AAA,2013J,113295,77.3,,1,1
AAA,2013J,114017,72.3,,1,1
AAA,2013J,114999,70.8,,1,1
AAA,2013J,116541,59.8,,1,1
AAA,2013J,116692,74.2,,1,1
AAA,2013J,118983,59.0,,1,1
AAA,2013J,123044,70.7,,1,1
AAA,2013J,127582,69.4,,1,1
AAA,2013J,129955,80.2,,0,1
AAA,2014J,129955,80.2,,0,1
AAA,2013J,132976,67.3,,1,1
AAA,2013J,134143,83.8,,1,1
AAA,2013J,135400,58.0,,0,1
AAA,2014J,135400,48.4,,1,1
AAA,2013J,137873,81.7,,1,1
AAA,2013J,141355,72.0,,1,1
AAA,2013J,141377,45.0,,0,1
AAA,2014J,141377,47.0,,1,1
AAA,2013J,142326,75.3,,1,1
AAA,2013J,144801,70.6,,1,1
AAA,2013J,145130,53.2,,1,1
AAA,2013J,146188,48.8,,1,1
AAA,2013J,147756,73.28571428571429,,0,1
AAA,2014J,147756,64.5,,1,1
AAA,2013J,147793,52.0,,0,1
AAA,2013J,148993,72.8,,0,1
AAA,2014J,148993,84.0,,1,1
AAA,2013J,151358,49.6,,1,1
AAA,2013J,155550,66.0,,1,1
AAA,2013J,155854,79.4,,1,1
AAA,2013J,155984,78.33333333333333,,0,1
AAA,2014J,155984,79.0,,1,1
AAA,2013J,157568,68.6,,1,1
AAA,2013J,159954,67.0,,0,1
AAA,2014J,159954,70.2,,0,1
AAA,2013J,164259,70.4,,1,1
AAA,2013J,167906,70.9,,1,1
AAA,2013J,168936,64.9,,1,1
AAA,2013J,172112,71.1,,1,1
AAA,2013J,172797,61.4,,1,1
AAA,2013J,174782,80.1,,1,1
AAA,2013J,175392,81.7,,1,1
AAA,2013J,175932,78.8,,1,1
