code_module,code_presentation,id_student,gender,highest_education,age_band,final_result
AAA,2013J,11391,2,2,3,1
AAA,2013J,28400,1,2,2,1
AAA,2013J,31604,1,1,2,1
AAA,2013J,38053,2,1,2,1
AAA,2013J,45462,2,2,1,1
AAA,2013J,45642,1,1,1,1
AAA,2013J,52130,1,1,1,1
AAA,2013J,53025,2,3,3,1
AAA,2013J,58873,1,1,1,1
AAA,2013J,62155,1,2,1,1
AAA,2013J,70464,1,1,2,1
AAA,2013J,71361,2,2,2,1
AAA,2013J,74372,2,1,2,0
AAA,2013J,75091,2,1,2,1
AAA,2013J,77367,2,1,1,1
AAA,2013J,91265,2,2,1,1
AAA,2013J,100893,2,1,1,1
AAA,2013J,102806,2,1,1,1
AAA,2013J,102952,2,2,1,1
AAA,2013J,104476,2,3,2,1
AAA,2013J,110175,2,2,2,1
AAA,2013J,111717,1,2,2,1
AAA,2013J,114017,1,3,2,1
AAA,2013J,114999,2,2,2,1
AAA,2013J,116541,2,2,1,1
AAA,2013J,116692,2,1,2,1
AAA,2013J,118983,2,2,1,1
AAA,2013J,123044,2,1,2,1
AAA,2013J,127582,1,1,1,1
AAA,2013J,137873,2,1,2,1
AAA,2013J,141355,1,1,1,1
AAA,2013J,142326,1,1,2,1
AAA,2013J,144801,1,2,2,1
AAA,2013J,145130,2,2,1,1
AAA,2013J,146188,1,1,1,0
AAA,2013J,151358,1,1,1,1
AAA,2013J,155550,2,1,2,1
AAA,2013J,155854,1,1,2,1
AAA,2013J,157568,1,1,1,1
AAA,2013J,164259,2,1,1,1
AAA,2013J,167906,1,1,2,1
AAA,2013J,172112,2,2,2,1
AAA,2013J,172797,1,1,2,1
AAA,2013J,174782,2,2,3,1
AAA,2013J,175392,2,2,2,1
AAA,2013J,175932,2,2,2,1
AAA,2013J,175991,1,1,1,0
AAA,2013J,180753,2,1,1,1
AAA,2013J,183096,1,1,1,1
AAA,2013J,183947,2,1,1,1
AAA,2013J,184271,2,2,2,1
AAA,2013J,185439,2,2,1,0
AAA,2013J,186149,2,2,2,1
AAA,2013J,189879,2,1,1,1
AAA,2013J,205350,2,2,2,1
AAA,2013J,205719,2,1,1,0
AAA,2013J,227517,2,2,1,0
AAA,2013J,228082,2,2,1,1
AAA,2013J,229179,2,1,1,1
AAA,2013J,229361,2,1,1,1
AAA,2013J,231554,2,1,1,1
AAA,2013J,236284,2,3,1,1
AAA,2013J,238007,2,2,3,1
AAA,2013J,240712,2,2,1,1
AAA,2013J,240884,2,1,1,1
AAA,2013J,241649,2,2,2,1
AAA,2013J,241729,1,2,2,0
AAA,2013J,242793,2,2,2,1
AAA,2013J,246834,2,1,2,1
