code_module,code_presentation,id_student,gender,highest_education,age_band,final_result,total_sum_click,avrg_past_grade,exam_grade,completed,weighted
AAA,2013J,11391,2,2,3,1,934,82.4,,1,1
AAA,2013J,28400,1,2,2,1,1435,65.4,,1,1
AAA,2013J,31604,1,1,2,1,2158,76.3,,1,1
AAA,2013J,38053,2,1,2,1,2445,66.9,,1,1
AAA,2013J,45462,2,2,1,1,1492,67.8,,1,1
AAA,2013J,45642,1,1,1,1,1428,72.5,,1,1
AAA,2013J,52130,1,1,1,1,1894,71.2,,1,1
AAA,2013J,53025,2,3,3,1,3158,79.0,,1,1
AAA,2013J,58873,1,1,1,1,1732,73.7,,1,1
AAA,2013J,62155,1,2,1,1,3388,76.4,,1,1
AAA,2013J,70464,1,1,2,1,1053,53.5,,1,1
AAA,2013J,71361,2,2,2,1,2327,79.7,,1,1
AAA,2013J,74372,2,1,2,0,116,46.85714285714285,,0,1
AAA,2013J,75091,2,1,2,1,2992,65.8,,1,1
AAA,2013J,77367,2,1,1,1,680,69.5,,1,1
AAA,2013J,91265,2,2,1,1,1494,69.0,,1,1
AAA,2013J,100893,2,1,1,1,744,68.7,,1,1
AAA,2013J,102806,2,1,1,1,1944,76.0,,1,1
AAA,2013J,102952,2,2,1,1,1150,77.1,,1,1
AAA,2013J,104476,2,3,2,1,4777,78.9,,1,1
AAA,2013J,110175,2,2,2,1,998,63.7,,1,1
AAA,2013J,111717,1,2,2,1,2343,81.5,,0,1
AAA,2013J,114017,1,3,2,1,757,72.3,,1,1
AAA,2013J,114999,2,2,2,1,1358,70.8,,1,1
AAA,2013J,116541,2,2,1,1,1886,59.8,,1,1
AAA,2013J,116692,2,1,2,1,1108,74.2,,1,1
AAA,2013J,118983,2,2,1,1,284,59.0,,1,1
AAA,2013J,123044,2,1,2,1,2041,70.7,,1,1
AAA,2013J,127582,1,1,1,1,1321,69.4,,1,1
AAA,2013J,137873,2,1,2,1,5528,81.7,,1,1
AAA,2013J,141355,1,1,1,1,1823,72.0,,1,1
AAA,2013J,142326,1,1,2,1,2121,75.3,,1,1
AAA,2013J,144801,1,2,2,1,5645,70.6,,1,1
AAA,2013J,145130,2,2,1,1,452,53.2,,1,1
AAA,2013J,146188,1,1,1,0,597,48.8,,1,1
AAA,2013J,151358,1,1,1,1,270,49.6,,1,1
AAA,2013J,155550,2,1,2,1,1529,66.0,,1,1
AAA,2013J,155854,1,1,2,1,4003,79.4,,1,1
AAA,2013J,157568,1,1,1,1,1405,68.6,,1,1
AAA,2013J,164259,2,1,1,1,466,70.4,,1,1
AAA,2013J,167906,1,1,2,1,1510,70.9,,1,1
AAA,2013J,172112,2,2,2,1,1939,71.1,,1,1
AAA,2013J,172797,1,1,2,1,1782,61.4,,1,1
AAA,2013J,174782,2,2,3,1,6318,80.1,,1,1
AAA,2013J,175392,2,2,2,1,4447,81.7,,1,1
AAA,2013J,175932,2,2,2,1,2016,78.8,,1,1
AAA,2013J,175991,1,1,1,0,138,36.0,,1,1
AAA,2013J,180753,2,1,1,1,2012,51.7,,1,1
AAA,2013J,183096,1,1,1,1,1975,54.0,,1,1
AAA,2013J,183947,2,1,1,1,964,46.6,,1,1
AAA,2013J,184271,2,2,2,1,1312,58.7,,1,1
AAA,2013J,185439,2,2,1,0,427,74.0,,0,1
AAA,2013J,186149,2,2,2,1,2136,75.6,,1,1
AAA,2013J,189879,2,1,1,1,1541,78.8,,1,1
AAA,2013J,205350,2,2,2,1,1665,72.2,,1,1
AAA,2013J,205719,2,1,1,0,333,54.6,,0,1
AAA,2013J,227517,2,2,1,0,1205,61.7,,1,1
AAA,2013J,228082,2,2,1,1,227,74.8,,1,1
AAA,2013J,229179,2,1,1,1,614,65.1,,1,1
AAA,2013J,229361,2,1,1,1,1215,77.5,,1,1
AAA,2013J,231554,2,1,1,1,1839,66.0,,0,1
AAA,2013J,236284,2,3,1,1,732,75.5,,1,1
AAA,2013J,238007,2,2,3,1,1935,79.5,,1,1
